2020,119950,3200
2020,130000,19043
2014,88950,16875
2018,84998,20309
2020,132900,4336
2017,134500,8882
2012,67550,12236
2015,67500,31996
2017,78999,25432
2013,71991,44899
2017,118500,5797
2018,123900,2763
2019,122900,4512
2019,129900,7380
2018,122500,10820
2006,69500,12080
2019,169900,1407
2017,95585,16404
2017,87977,12520
2021,299990,86
2019,214726,3627
2011,104478,3669
2014,129900,7185
2019,128869,6233
2019,121457,13814
2005,69995,10019
2007,44997,21289
1997,179997,27322
2008,71911,58103
2014,67041,27491
2007,44863,25864
2007,82997,39659
2007,No Price,27343
1998,69997,68399
1992,54995,62214
2006,54995,32525
2017,87977,12520
2021,299990,86
2019,214726,3627
2011,104478,3669
2014,129900,7185
2019,128869,6233
2019,121457,13814
2005,69995,10019
2007,44997,21289
1997,179997,27322
2008,71911,58103
2014,67041,27491
2007,44863,25864
2007,82997,39659
2007,No Price,27343
1998,69997,68399
1992,54995,62214
2006,54995,32525
